benchmark,dimension,seed,true_eval_num,strategy_before,strategy_used,strategy_after,candidate_pred,true_fitness,current_best_after,improved,rejected_by_niche,niche_min_distance,niche_threshold,pred_mq,pred_tps,pred_gaussian
Rastrigin,10,42,34,1,LCB-GPR,2,-11206.831142986117,294.51555086215694,112.7082703341864,False,False,,0.0031622776601683794,,,
Rastrigin,10,42,35,2,Global-RBF,3,100.39200057591259,171.42616790981856,112.7082703341864,False,False,3.449781966930098,0.0031622776601683794,116.02658280989209,119.57034317271462,100.39200057591263
Rastrigin,10,42,36,3,Local-RBF,1,-629.1807605941742,285.79931632874707,112.7082703341864,False,False,1.9052797445022522,0.0031622776601683794,95.52103466970648,-629.1807605941742,138.62984976314524
Rastrigin,10,42,37,1,LCB-GPR,2,-11742.935367141401,262.09437852007426,112.7082703341864,False,False,,0.0031622776601683794,,,
Rastrigin,10,42,38,2,Global-RBF,3,69.17712882252329,181.37426168739321,112.7082703341864,False,False,5.294893512422503,0.0031622776601683794,91.44071822617325,99.79147797492853,69.17712882252292
Rastrigin,10,42,39,3,Local-RBF,1,-629.1264292553649,263.2999872677975,112.7082703341864,False,False,1.1447426771800615,0.0031622776601683794,96.34757519520048,-629.1264292553649,138.62997246607185
Rastrigin,10,42,40,1,LCB-GPR,2,-11213.962660867146,306.85514167415477,112.7082703341864,False,False,,0.0031622776601683794,,,
Rastrigin,10,42,41,2,Global-RBF,3,76.7109496707157,115.22880069581464,112.7082703341864,False,False,5.4627021199172106,0.0031622776601683794,88.78482395753736,112.42789379419737,76.71094967071866
Rastrigin,10,42,42,3,Local-RBF,1,-316.8835548845065,279.53774151784177,112.7082703341864,False,False,5.742575588179251,0.0031622776601683794,88.54670281056022,-316.8835548845065,132.73070056334137
Rastrigin,10,42,43,1,LCB-GPR,2,-11495.09167446499,252.8684665122591,112.7082703341864,False,False,,0.0031622776601683794,,,
Rastrigin,10,42,44,2,Global-RBF,2,87.75107198178199,87.91741398604049,87.91741398604049,True,False,3.539990824963962,0.0031622776601683794,87.75107198178208,101.2748854639802,95.44334636783199
Rastrigin,10,42,45,2,Global-RBF,3,82.06871634207354,138.6985536226431,87.91741398604049,False,False,2.824663485095811,0.0031622776601683794,97.76915212017798,100.14828280577886,82.06871634207548
Rastrigin,10,42,46,3,Local-RBF,3,-10.140439211819839,83.01147828585512,83.01147828585512,True,False,4.252099338549142,0.0031622776601683794,62.81543203982773,-10.140439211819839,93.45355398674239
Rastrigin,10,42,47,3,Local-RBF,1,-268.6456763117465,261.11887134382584,83.01147828585512,False,False,10.804151921174688,0.0031622776601683794,60.653924836374614,-268.64567631174646,99.69767332499188
Rastrigin,10,42,48,1,LCB-GPR,2,-12533.023296501075,264.98999213494744,83.01147828585512,False,False,,0.0031622776601683794,,,
Rastrigin,10,42,49,2,Global-RBF,3,65.36113590646409,107.54661248482894,83.01147828585512,False,False,2.763095769436274,0.0031622776601683794,69.45220840056385,77.8968595096776,65.36113590646323
Rastrigin,10,42,50,3,Local-RBF,1,-2972.35866289502,278.1894051494356,83.01147828585512,False,False,12.326160827352389,0.0031622776601683794,76.90680183560036,-2972.358662895019,97.79594377272774
Rastrigin,10,42,51,1,LCB-GPR,2,-13846.355337501587,250.7253356834122,83.01147828585512,False,False,,0.0031622776601683794,,,
Rastrigin,10,42,52,2,Global-RBF,3,45.32048621094236,100.36578765881023,83.01147828585512,False,False,4.1789122312613785,0.0031622776601683794,55.67813484237675,85.29958377204,45.32048621094259
Rastrigin,10,42,53,3,Local-RBF,1,-1201.9574540131623,234.5137540079176,83.01147828585512,False,False,7.602646956023414,0.0031622776601683794,69.5459051392865,-1201.9574540131623,98.30990048995805
Rastrigin,10,42,54,1,LCB-GPR,2,-13672.064586516723,214.16861692928592,83.01147828585512,False,False,,0.0031622776601683794,,,
Rastrigin,10,42,55,2,Global-RBF,3,58.268510958258275,112.34977428872433,83.01147828585512,False,False,3.3947859278976797,0.0031622776601683794,64.80630098960393,90.97409605299876,58.2685109582535
Rastrigin,10,42,56,3,Local-RBF,1,-37148.49920367944,287.7947438201023,83.01147828585512,False,False,12.61632481519793,0.0031622776601683794,205.3211752724702,-37148.499203679436,98.23821334085254
Rastrigin,10,42,57,1,LCB-GPR,2,-11923.457753676057,262.4876506028066,83.01147828585512,False,False,,0.0031622776601683794,,,
Rastrigin,10,42,58,2,Global-RBF,3,41.12690896661968,198.68896990322799,83.01147828585512,False,False,6.85437300186156,0.0031622776601683794,94.5690015423922,143.912392088844,41.126908966618714
Rastrigin,10,42,59,3,Local-RBF,1,-37060.31235887169,232.8461937239795,83.01147828585512,False,False,10.063247365085735,0.0031622776601683794,204.5160963671742,-37060.3123588717,98.23821334085225
Rastrigin,10,42,60,1,LCB-GPR,2,-12646.792697457218,289.8075715052214,83.01147828585512,False,False,,0.0031622776601683794,,,
Rastrigin,10,42,61,2,Global-RBF,3,63.13923614556887,132.51442454976117,83.01147828585512,False,False,3.3776042277942437,0.0031622776601683794,69.2673101430544,87.11444736830654,63.1392361455691
Rastrigin,10,42,62,3,Local-RBF,1,-54336.76813718465,239.01913910097878,83.01147828585512,False,False,5.398659451792304,0.0031622776601683794,228.7134980761172,-54336.76813718463,100.64988950640772
Rastrigin,10,42,63,1,LCB-GPR,2,-10511.776891586294,235.76972101117866,83.01147828585512,False,False,,0.0031622776601683794,,,
Rastrigin,10,42,64,2,Global-RBF,3,37.95672038889791,134.19463523279404,83.01147828585512,False,False,5.4422041583887255,0.0031622776601683794,67.32024834486646,108.35822837776577,37.95672038889663
Rastrigin,10,42,65,3,Local-RBF,1,-52628.446399998174,224.70692654869453,83.01147828585512,False,False,3.8189978621032576,0.0031622776601683794,226.59122375061958,-52628.44639999815,100.64988950640779
Rastrigin,10,42,66,1,LCB-GPR,2,-10500.550863404927,250.0329385383601,83.01147828585512,False,False,,0.0031622776601683794,,,
Rastrigin,10,42,67,2,Global-RBF,3,36.3445342703167,164.30249814151762,83.01147828585512,False,False,7.417764974832441,0.0031622776601683794,89.99862209659852,164.79762115967182,36.3445342703167
Rastrigin,10,42,68,3,Local-RBF,1,-53349.362870328645,311.6136417178526,83.01147828585512,False,False,2.2381068014708374,0.0031622776601683794,227.1080331325016,-53349.36287032863,100.64988950640779
Rastrigin,10,42,69,1,LCB-GPR,2,-13044.011181723406,281.29092050815507,83.01147828585512,False,False,,0.0031622776601683794,,,
Rastrigin,10,42,70,2,Global-RBF,3,48.5279886901246,159.54449250201776,83.01147828585512,False,False,5.833864409796104,0.0031622776601683794,85.76717605337655,131.32625651249705,48.52798869011389
Rastrigin,10,42,71,3,Local-RBF,1,-412.527226774393,207.94466401184792,83.01147828585512,False,False,8.801404861477865,0.0031622776601683794,137.0420881580928,-412.52722677439334,102.69567846104869
Rastrigin,10,42,72,1,LCB-GPR,2,-12884.058067706359,255.01533535484702,83.01147828585512,False,False,,0.0031622776601683794,,,
Rastrigin,10,42,73,2,Global-RBF,3,52.815699679014074,157.36939085686672,83.01147828585512,False,False,6.086681819914374,0.0031622776601683794,89.01579798279742,128.93082646362035,52.81569967901979
Rastrigin,10,42,74,3,Local-RBF,1,-412.3689544818939,197.42526794372668,83.01147828585512,False,False,0.6644212937689484,0.0031622776601683794,137.1508926376079,-412.3689544818938,102.69776372754097
Rastrigin,10,42,75,1,LCB-GPR,2,-12939.858915274901,284.7579194016648,83.01147828585512,False,False,,0.0031622776601683794,,,
Rastrigin,10,42,76,2,Global-RBF,3,66.72585733345184,130.25407878913464,83.01147828585512,False,False,2.543019193269465,0.0031622776601683794,66.72585733348168,78.31355629801061,75.37867824775742
Rastrigin,10,42,77,3,Local-RBF,1,-412.34766696177434,176.26191075562335,83.01147828585512,False,False,0.5553094713219231,0.0031622776601683794,134.84498163111977,-412.3476669617742,102.68291604889059
Rastrigin,10,42,78,1,LCB-GPR,2,-8275.523455481229,259.6400764080203,83.01147828585512,False,False,,0.0031622776601683794,,,
Rastrigin,10,42,79,2,Global-RBF,3,-142.49366468139203,197.58900052751252,83.01147828585512,False,False,9.003073934376225,0.0031622776601683794,-28.963780524103726,107.01950192337604,-142.49366468137833
Rastrigin,10,42,80,3,Local-RBF,1,-412.93237651574174,196.97965788530365,83.01147828585512,False,False,0.320187991508133,0.0031622776601683794,135.08779642481534,-412.9323765157415,102.68393809727492
Rastrigin,10,42,81,1,LCB-GPR,2,-13001.598598610111,297.9041128192055,83.01147828585512,False,False,,0.0031622776601683794,,,
Rastrigin,10,42,82,2,Global-RBF,3,-77.42728984580313,225.7907392720532,83.01147828585512,False,False,7.808826017265301,0.0031622776601683794,20.881150324340837,179.78221376494986,-77.42728984583024
Rastrigin,10,42,83,3,Local-RBF,1,-3626.418146767472,222.0047738798781,83.01147828585512,False,False,9.348718773564174,0.0031622776601683794,62.98076537933049,-3626.4181467674703,106.06600387464707
Rastrigin,10,42,84,1,LCB-GPR,2,-8242.647258474648,283.67038584698656,83.01147828585512,False,False,,0.0031622776601683794,,,
Rastrigin,10,42,85,2,Global-RBF,3,-104.18647552916985,243.695627536582,83.01147828585512,False,False,10.649952080879984,0.0031622776601683794,-5.283645989225789,119.34357839272117,-104.18647552917963
Rastrigin,10,42,86,3,Local-RBF,1,-3632.0034443788463,252.99439722797803,83.01147828585512,False,False,0.5559788680745106,0.0031622776601683794,63.79657035545178,-3632.0034443788395,106.07869872850674
Rastrigin,10,42,87,1,LCB-GPR,2,-12617.635666724871,230.4859389928863,83.01147828585512,False,False,,0.0031622776601683794,,,
Rastrigin,10,42,88,2,Global-RBF,3,-102.38409688054682,235.60998455130482,83.01147828585512,False,False,8.987239575964638,0.0031622776601683794,18.50026180724052,198.47224191457116,-102.38409688054074
Rastrigin,10,42,89,3,Local-RBF,1,-3638.230772597937,213.95486432437747,83.01147828585512,False,False,0.48944792947853427,0.0031622776601683794,64.55712677305422,-3638.230772597937,106.08272578455428
Rastrigin,10,42,90,1,LCB-GPR,2,-12407.64652711158,261.4683637845269,83.01147828585512,False,False,,0.0031622776601683794,,,
Rastrigin,10,42,91,2,Global-RBF,3,-27.154206995549913,170.78729471898035,83.01147828585512,False,False,7.354340502407197,0.0031622776601683794,74.5305354333172,192.51673029478923,-27.15420699554724
Rastrigin,10,42,92,3,Local-RBF,1,-813.885924771798,219.62626266679064,83.01147828585512,False,False,7.623491995454639,0.0031622776601683794,178.39033428871272,-813.8859247717986,108.69950471769073
Rastrigin,10,42,93,1,LCB-GPR,2,-12179.986381255161,302.28915648067385,83.01147828585512,False,False,,0.0031622776601683794,,,
Rastrigin,10,42,94,2,Global-RBF,3,-90.62445162452963,230.92711148135615,83.01147828585512,False,False,7.042841123223659,0.0031622776601683794,-90.62445162442003,-44.29298229852577,-63.39571715215527
Rastrigin,10,42,95,3,Local-RBF,1,-808.549022509715,174.5401907006794,83.01147828585512,False,False,1.470470476207398,0.0031622776601683794,171.37927940183857,-808.549022509714,108.62025067998003
Rastrigin,10,42,96,1,LCB-GPR,2,-12350.64479751693,274.4609854766626,83.01147828585512,False,False,,0.0031622776601683794,,,
Rastrigin,10,42,97,2,Global-RBF,3,-20.64655992147732,231.91203790581335,83.01147828585512,False,False,7.7304891671682805,0.0031622776601683794,69.0672548791506,177.25359749893767,-20.64655992150324
Rastrigin,10,42,98,3,Local-RBF,1,-810.4916379636057,182.07658805612533,83.01147828585512,False,False,0.7191791525048654,0.0031622776601683794,176.53325964448294,-810.4916379636062,108.77516385718026
Rastrigin,10,42,99,1,LCB-GPR,2,-12187.77892563682,273.43016120551664,83.01147828585512,False,False,,0.0031622776601683794,,,
Rastrigin,10,42,100,2,Global-RBF,3,-23.998696202891836,230.49154197269547,83.01147828585512,False,False,6.902427144004848,0.0031622776601683794,77.84179611569002,174.55051857303556,-23.998696202900476
Rastrigin,10,42,101,3,Local-RBF,1,-3457.199578901284,253.6228391002407,83.01147828585512,False,False,8.013807652821859,0.0031622776601683794,176.09117126919216,-3457.1995789012835,111.60116716698143
Rastrigin,10,42,102,1,LCB-GPR,2,-11920.673193135932,278.58804001256703,83.01147828585512,False,False,,0.0031622776601683794,,,
Rastrigin,10,42,103,2,Global-RBF,3,16.313911517743236,116.88043421384819,83.01147828585512,False,False,6.111119057604091,0.0031622776601683794,41.36271055753983,119.1072803247765,16.31391151774241
Rastrigin,10,42,104,3,Local-RBF,1,-8297.861837606953,196.2310324426367,83.01147828585512,False,False,4.307378946608144,0.0031622776601683794,146.02518379192946,-8297.861837606955,108.45641264817971
Rastrigin,10,42,105,1,LCB-GPR,2,-12123.395494077124,259.9883711707645,83.01147828585512,False,False,,0.0031622776601683794,,,
Rastrigin,10,42,106,2,Global-RBF,3,-23.344749024923715,195.2238679959879,83.01147828585512,False,False,8.397995914511156,0.0031622776601683794,76.60695921738292,150.745763139965,-23.344749024989056
